Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2026-04-03T16:37:13.540529+00:00
Hoodie 3,7950080.0,4.8,3,L,Unisex,2026-04-03T16:37:13.540795+00:00
Pants 4,7476960.0,3.3,3,XL,Men,2026-04-03T16:37:13.540979+00:00
Outerwear 5,5145440.0,3.5,3,XXL,Women,2026-04-03T16:37:13.541256+00:00
Jacket 6,2453920.0,3.3,3,S,Unisex,2026-04-03T16:37:13.541508+00:00
Crewneck 7,6892000.0,4.3,3,M,Men,2026-04-03T16:37:13.541767+00:00
T-shirt 8,7802560.0,3.1,3,L,Women,2026-04-03T16:37:13.541949+00:00
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2026-04-03T16:37:13.542119+00:00
Pants 10,3100160.0,4.2,3,XXL,Men,2026-04-03T16:37:13.542340+00:00
Jacket 12,8527840.0,3.9,3,M,Unisex,2026-04-03T16:37:13.542690+00:00
Crewneck 13,5447200.0,3.2,3,L,Men,2026-04-03T16:37:13.542857+00:00
T-shirt 14,3248800.0,3.8,3,XL,Women,2026-04-03T16:37:13.543027+00:00
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2026-04-03T16:37:13.543249+00:00
Outerwear 17,841600.0,3.8,3,M,Women,2026-04-03T16:37:13.543711+00:00
Jacket 18,5500000.0,3.8,3,L,Unisex,2026-04-03T16:37:13.543934+00:00
Crewneck 19,1308960.0,3.6,3,XL,Men,2026-04-03T16:37:13.544154+00:00
T-shirt 20,1325600.0,3.4,3,XXL,Women,2026-04-03T16:37:13.544407+00:00
Pants 22,4319680.0,4.9,3,M,Men,2026-04-03T16:37:13.615133+00:00
Outerwear 23,4655840.0,3.7,3,L,Women,2026-04-03T16:37:13.615477+00:00
Jacket 24,8223520.0,3.9,3,XL,Unisex,2026-04-03T16:37:13.615801+00:00
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2026-04-03T16:37:13.616198+00:00
T-shirt 26,7292320.0,4.6,3,S,Women,2026-04-03T16:37:13.616497+00:00
Hoodie 27,3551840.0,4.8,3,M,Unisex,2026-04-03T16:37:13.616774+00:00
Pants 28,5216160.0,4.0,3,L,Men,2026-04-03T16:37:13.617045+00:00
Outerwear 29,861600.0,3.1,3,XL,Women,2026-04-03T16:37:13.617340+00:00
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2026-04-03T16:37:13.617625+00:00
T-shirt 32,6657920.0,3.4,3,M,Women,2026-04-03T16:37:13.618214+00:00
Hoodie 33,7248160.0,3.5,3,L,Unisex,2026-04-03T16:37:13.618501+00:00
Pants 34,8362719.999999999,3.8,3,XL,Men,2026-04-03T16:37:13.618781+00:00
Outerwear 35,1356160.0,3.8,3,XXL,Women,2026-04-03T16:37:13.619074+00:00
Jacket 36,7249280.0,3.7,3,S,Unisex,2026-04-03T16:37:13.619395+00:00
Crewneck 37,6006080.0,4.0,3,M,Men,2026-04-03T16:37:13.619645+00:00
T-shirt 38,4866080.0,3.2,3,L,Women,2026-04-03T16:37:13.619900+00:00
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2026-04-03T16:37:13.620098+00:00
Pants 40,5853600.0,3.1,3,XXL,Men,2026-04-03T16:37:13.620287+00:00
Jacket 42,6744160.0,3.7,3,M,Unisex,2026-04-03T16:37:13.758846+00:00
Crewneck 43,2909600.0,4.5,3,L,Men,2026-04-03T16:37:13.759012+00:00
T-shirt 44,3312320.0,3.0,3,XL,Women,2026-04-03T16:37:13.759188+00:00
Hoodie 45,8693120.0,4.5,3,XXL,Unisex,2026-04-03T16:37:13.759423+00:00
Outerwear 47,6364640.0,3.2,3,M,Women,2026-04-03T16:37:13.759759+00:00
Jacket 48,4994720.0,3.4,3,L,Unisex,2026-04-03T16:37:13.759937+00:00
Crewneck 49,1071200.0,4.0,3,XL,Men,2026-04-03T16:37:13.760116+00:00
T-shirt 50,5932960.0,3.1,3,XXL,Women,2026-04-03T16:37:13.760305+00:00
